image_name,x,y,frame_number,sequence_id,number_of_points,name,species,length
R21PTDC0839.JPG,1309.215402418036,1004.9509464184214,0,0,1,R21PTDC0839-1,Goitered gazelle,0.68
R21PTDC0839.JPG,1305.93603800657,937.9449458387843,0,1,1,R21PTDC0839-1,Goitered gazelle,0.68
R21PTDC1555.JPG,1701.4519021576737,897.3315744440308,1,2,1,R21PTDC1555-1,Goitered gazelle,1.09
R21PTDC1555.JPG,1657.052672902616,895.5376662114844,1,3,1,R21PTDC1555-1,Goitered gazelle,1.09
R21PTDC1555.JPG,1460.3617440019589,886.3232967732152,1,4,1,R21PTDC1555-2,Goitered gazelle,1.09
R21PTDC1555.JPG,1416.049719047602,886.3232967732152,1,5,1,R21PTDC1555-2,Goitered gazelle,1.09
R21PTDC1582.JPG,531.4257621890105,871.9978864724002,2,6,1,R21PTDC1582-1,Goitered gazelle,1.09
R21PTDC1582.JPG,583.7508752491301,876.4375930350769,2,7,1,R21PTDC1582-1,Goitered gazelle,1.09
R21PTDC1582.JPG,714.9464578921641,880.3969491532251,2,8,1,R21PTDC1582-2,Goitered gazelle,1.09
R21PTDC1582.JPG,748.3581125381986,880.1727101091574,2,9,1,R21PTDC1582-2,Goitered gazelle,1.09
R21PTDC1950.JPG,36.51272324477256,948.1190340089144,3,10,1,R21PTDC1950-1,Goitered gazelle,0.68
R21PTDC1950.JPG,35.43106639084349,886.183906739304,3,11,1,R21PTDC1950-1,Goitered gazelle,0.68
R21PTDC1950.JPG,867.3891515525207,883.6370695168,3,12,1,R21PTDC1950-2,Goitered gazelle,1.09
R21PTDC1950.JPG,816.76021004452,883.4941535812717,3,13,1,R21PTDC1950-2,Goitered gazelle,1.09
R21PTDC1950.JPG,1299.338964419064,927.5227901269443,3,14,1,R21PTDC1950-3,Goitered gazelle,1.09
R21PTDC1950.JPG,1215.5985701100792,916.2848872939494,3,15,1,R21PTDC1950-3,Goitered gazelle,1.09
R21PTDC2324.JPG,1782.0039249668698,910.4586358564053,4,16,1,R21PTDC2324-1,Goitered gazelle,0.68
R21PTDC2324.JPG,1783.0719968756591,893.8472037422382,4,17,1,R21PTDC2324-1,Goitered gazelle,0.68
R21PTDC5729.JPG,2052.6295741486833,1113.236106761582,5,18,1,R21PTDC5729-1,Goitered gazelle,0.68
R21PTDC5729.JPG,2052.6295741486833,1011.412736025169,5,19,1,R21PTDC5729-1,Goitered gazelle,0.68
R21PTDC5729.JPG,1518.6056463800207,904.2563950430095,5,20,1,R21PTDC5729-2,Goitered gazelle,1.09
R21PTDC5729.JPG,1559.938979713354,907.1897283763428,5,21,1,R21PTDC5729-2,Goitered gazelle,1.09
R21PTDC5729.JPG,959.4390970888867,888.2938876027058,5,22,1,R21PTDC5729-3,Goitered gazelle,0.68
R21PTDC5729.JPG,958.1706094995504,862.289892021313,5,23,1,R21PTDC5729-3,Goitered gazelle,0.68
R45PTDC2859.JPG,286.2981117813647,987.4656996222618,6,24,1,R45PTDC2859-1,Goitered gazelle,0.68
R45PTDC2859.JPG,286.2981117813647,934.6683961708911,6,25,1,R45PTDC2859-1,Goitered gazelle,0.68
R66PTDC6723.JPG,769.4325474190517,916.1554905323596,7,26,1,R66PTDC6723-1,Goitered gazelle,1.09
R66PTDC6723.JPG,715.8394035268972,921.5372474251913,7,27,1,R66PTDC6723-1,Goitered gazelle,1.09
R66PTDC7222.JPG,298.05808672409205,909.5992965470365,8,28,1,R66PTDC7222-1,Goitered gazelle,1.09
R66PTDC7222.JPG,244.78160797197012,921.3328449460045,8,29,1,R66PTDC7222-1,Goitered gazelle,1.09
R69PTDC0504.JPG,1474.9420397643196,988.8593057785802,9,30,1,R69PTDC0504-1,Goitered gazelle,0.68
R69PTDC0504.JPG,1476.52764925099,964.9166025298588,9,31,1,R69PTDC0504-1,Goitered gazelle,0.68
R69PTDC0504.JPG,1452.3002368432738,979.2098945728048,9,32,1,R69PTDC0504-2,Goitered gazelle,0.68
R69PTDC0504.JPG,1449.7632616646013,955.4257522727504,9,33,1,R69PTDC0504-2,Goitered gazelle,0.68
R69PTDC0539.JPG,1229.8120765990884,964.1825503082703,10,34,1,R69PTDC0539-1,Goitered gazelle,0.68
R69PTDC0539.JPG,1229.1393507582923,945.5706934668383,10,35,1,R69PTDC0539-1,Goitered gazelle,0.68
R69PTDC0539.JPG,1142.948258820957,948.9586239291098,10,36,1,R69PTDC0539-2,Goitered gazelle,0.68
R69PTDC0539.JPG,1142.6311369236232,935.9566261384134,10,37,1,R69PTDC0539-2,Goitered gazelle,0.68
R69PTDC0539.JPG,1373.762339062709,955.4374083838958,10,38,1,R69PTDC0539-3,Goitered gazelle,0.68
R69PTDC0539.JPG,1374.5165862959748,938.8439692520515,10,39,1,R69PTDC0539-3,Goitered gazelle,0.68
R69PTDC0539.JPG,1485.9968170363297,959.1674901682106,10,40,1,R69PTDC0539-4,Goitered gazelle,0.68
R69PTDC0539.JPG,1486.288380339917,941.4181780285913,10,41,1,R69PTDC0539-4,Goitered gazelle,0.68
R69PTDC1825.JPG,656.3150605900154,1007.2094098501562,11,42,1,R69PTDC1825-1,Goitered gazelle,1.09
R69PTDC1825.JPG,703.8833451901243,1006.8922879528222,11,43,1,R69PTDC1825-1,Goitered gazelle,1.09
R69PTDC1825.JPG,908.1804770705285,979.3976966989558,11,44,1,R69PTDC1825-2,Goitered gazelle,1.09
R69PTDC1825.JPG,942.7132898569477,973.5674815531967,11,45,1,R69PTDC1825-2,Goitered gazelle,1.09
R69PTDC1825.JPG,2567.7372746888022,1024.798741417404,11,46,1,R69PTDC1825-3,Goitered gazelle,1.09
R69PTDC1825.JPG,2550.022390207457,1039.8227573699369,11,47,1,R69PTDC1825-3,Goitered gazelle,1.09
R69PTDC1825.JPG,2969.3373874268077,1088.8203723490753,11,48,1,R69PTDC1825-4,Goitered gazelle,1.09
R69PTDC1825.JPG,2910.88322684872,1091.837361282138,11,49,1,R69PTDC1825-4,Goitered gazelle,1.09
R69PTDC1825.JPG,2471.9046798283166,1209.2444256012045,11,50,1,R69PTDC1825-5,Goitered gazelle,1.09
R69PTDC1825.JPG,2462.03816188934,1151.8392303198843,11,51,1,R69PTDC1825-5,Goitered gazelle,1.09
R69PTDC1826.JPG,654.349791895531,1006.2289559665915,12,52,1,R69PTDC1826-1,Goitered gazelle,1.09
R69PTDC1826.JPG,705.9247720310922,1008.6955854513357,12,53,1,R69PTDC1826-1,Goitered gazelle,1.09
